estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc
494593;776;101,58;142,95;1250;61,86;1540;1580;15,29;24,11;27,32;30,31;295,23;339,22
494593;777;37,09;155,08;1251;26,68;1680;1660;8,91;13,07;13,56;10,53;51,28;62,53
494593;777;37,09;155,08;1251;38,83;1680;1660;11,51;17,22;19,2;17,64;112,72;134,25
494593;777;37,09;155,08;1251;51,38;1680;1660;12,9;21,05;24,32;22,26;179,29;209,86
494593;777;37,09;155,08;1251;63,47;1680;1660;13,65;24,05;26,38;25;240,32;276,13
494593;778;175,77;142,87;1252;26,77;1540;1520;10,07;14,17;14,92;12,21;63,67;77,64
494593;778;175,77;142,87;1252;38,93;1540;1520;13,03;18,45;20,24;20,52;138,59;165,06
494593;778;175,77;142,87;1252;51,48;1540;1520;14,25;22,04;23,72;24,65;204,68;239,57
494593;778;175,77;142,87;1252;63,57;1540;1520;15,11;24,67;26,32;27,82;270,71;311,04
494593;779;164,98;216,88;1253;44,42;1440;1420;15,34;22,67;23,26;27,03;231,44;270,9
494593;779;164,98;216,88;1253;56,27;1440;1420;16,31;24,52;26,64;30,75;301,14;346,01
494593;779;164,98;216,88;1253;63,86;1440;1420;16,77;26,39;29,4;32,59;347,44;395,43
494593;780;138,13;288,72;1254;44,45;1760;1760;13,13;19,71;20,8;24,43;181,77;212,76
494593;780;138,13;288,72;1254;56,31;1760;1760;14;22,16;23,96;27,95;245,95;282,6
494593;780;138,13;288,72;1254;63,9;1760;1760;14,51;24,52;26,54;30,17;296,34;337,28
494593;781;169,02;67,82;1255;30,78;1480;1420;12,91;17,71;18,66;18,78;125,65;150,45
494593;781;169,02;67,82;1255;44,48;1480;1420;15,21;20,61;22,92;26,24;205,08;240,04
494593;781;169,02;67,82;1255;56,34;1480;1420;15,92;24,71;26,64;28,91;281,88;323,88
494593;781;169,02;67,82;1255;63,93;1480;1420;16,35;27,2;29,2;30,57;329,46;374,97
494593;782;83,14;251,17;1256;25,39;1540;1560;9,46;12,07;13,26;11,36;50,83;62,98
494593;782;83,14;251,17;1256;37,12;1540;1560;12,53;17,76;20,28;20,16;136,11;162,1
494593;782;83,14;251,17;1256;50,13;1540;1560;14,09;21,71;24,72;25,77;219,84;257,32
494593;782;83,14;251,17;1256;62,12;1540;1560;14,84;24,24;26,92;28,76;284,23;326,58
494593;783;93,83;107,05;1257;26,02;1560;1520;10,1;12,41;13,56;12,76;57,98;71,81
494593;783;93,83;107,05;1257;37,75;1560;1520;13,28;16,78;19,26;22,39;144,69;172,32
494593;783;93,83;107,05;1257;50,76;1560;1520;14,85;21,3;25,18;28,78;250,25;292,91
494593;783;93,83;107,05;1257;62,75;1560;1520;15,86;23,85;28,96;33,21;346,24;397,83
494593;783;93,83;107,05;1258;37,75;1640;1600;12,34;18,51;20,62;20,22;141,79;168,88
494593;783;93,83;107,05;1258;50,76;1640;1600;14,02;20,74;24,58;26,68;222,14;260,01
494593;783;93,83;107,05;1258;62,75;1640;1600;15,06;23,3;27,5;31,19;309,54;355,66
494593;783;93,83;107,05;1259;37,75;1500;1480;12,7;17,76;18,2;19,2;125,14;149,04
