estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc;sitio;licl4;lscl4;lscl3;lscl2;lscl1;cls;mudou;nmudou;ncls;s
573116;200;35,93;188,49;331;52,73;1481,02;1436,81;12,36;19,29;20,44;17,76;144,63;164,47;25,70960676;15,82252586;18,56814233;21,48279117;24,56119678;27,79866023;3;0;0;3;25,37
573116;200;35,93;188,49;332;52,73;1540;1480;13;20,92;23,18;20,3;181,43;206,33;27,75501891;15,82252586;18,56814233;21,48279117;24,56119678;27,79866023;2;0;0;2;27,62
573116;133;69,74;242,18;230;52,86;1746,28;1724,18;14,48;21,73;24,5;29,83;276,56;315,32;28,68166113;15,86903933;18,61234148;21,52298519;24,59566505;27,82565791;2;0;1;2;27,62
573116;136;58,83;239,97;234;53,06;1660;1560;13,67;21,31;23,66;23,53;192,47;225,29;28,03652904;15,94048514;18,68018453;21,58464093;24,64850655;27,86702404;2;0;1;2;27,62
573116;136;58,83;239,97;235;53,06;1640;1620;13,97;21,8;24,12;25,42;210,41;246,28;28,36994491;15,94048514;18,68018453;21,58464093;24,64850655;27,86702404;2;0;0;2;27,62
573116;126;36,12;88,16;223;53,29;1660;1680;13,22;20,48;21,62;23,27;186,22;213,97;26,47332603;16,02247692;18,7579706;21,65527402;24,70899568;27,9143435;3;0;1;2;27,62
573116;146;179,33;318,77;249;53,35;1500;1480;13,78;21,21;24,38;22,71;184,1;215,48;28,50131206;16,04383586;18,77822152;21,67365243;24,7247266;27,92664365;2;0;1;2;27,62
573116;146;179,33;318,77;250;53,35;1680;1700;12,19;19,54;21,7;20,2;149,27;174,71;26,51992815;16,04383586;18,77822152;21,67365243;24,7247266;27,92664365;2;0;0;2;27,62
573116;205;169,41;84,09;338;53,42;1436,81;1458,92;14,79;21,87;23,44;25,71;224,56;259,56;27,8017844;16,06873876;18,80182608;21,69506905;24,74305385;27,94097085;2;0;1;2;27,62
573116;205;169,41;84,09;339;53,42;1414,71;1326,29;16,31;22,52;24,84;27,95;244,67;282,88;28,81977819;16,06873876;18,80182608;21,69506905;24,74305385;27,94097085;1;0;1;1;29,87
573116;205;169,41;84,09;340;53,42;1580;1500;14,64;22,36;24;25,87;230,64;266,22;28,21168236;16,06873876;18,80182608;21,69506905;24,74305385;27,94097085;2;0;1;2;27,62
573116;205;169,41;84,09;341;53,42;1440;1420;14,98;22,15;24,12;25,65;226,42;261,55;28,29904275;16,06873876;18,80182608;21,69506905;24,74305385;27,94097085;2;0;1;2;27,62
573116;147;112,05;337,71;251;53,45;1660;1480;13,54;23,51;24,94;21,85;193,16;226,09;28,88607764;16,07940619;18,81193522;21,70423941;24,75089999;27,94710352;1;0;1;2;27,62
573116;125;24,09;189,79;222;53,58;1340;1260;16,48;22,48;24,2;27,51;244,64;281,09;28,32574369;16,12559532;18,85569233;21,74392085;24,78484184;27,97362612;2;0;1;2;27,62
573116;135;106,62;183,05;232;54,47;1640;1620;13,12;21,14;23,28;22,41;180,32;211,07;27,46242695;16,44020798;19,15311016;22,01311759;25,01469488;28,1529431;2;0;0;2;27,62
573116;135;106,62;183,05;233;54,47;1520;1540;13,69;21,41;23,98;23,36;191,45;224,09;27,98604879;16,44020798;19,15311016;22,01311759;25,01469488;28,1529431;2;0;0;2;27,62
573116;116;101,65;85,77;203;54,66;1440;1440;14,16;21,21;23,18;22,97;183,94;215,3;27,34645146;16,50700547;19,21611711;22,07003091;25,06320006;28,19071889;2;0;0;2;27,62
573116;116;101,65;85,77;204;54,66;1540;1480;13,47;19,15;20,92;21,8;158,61;185,66;25,60669863;16,50700547;19,21611711;22,07003091;25,06320006;28,19071889;3;0;2;3;25,37
573116;116;101,65;85,77;205;54,66;1400;1360;14,02;21,54;22,42;21,25;171,33;200,54;26,76850003;16,50700547;19,21611711;22,07003091;25,06320006;28,19071889;2;0;1;3;25,37
573116;116;101,65;85,77;206;54,66;1560;1520;13,76;21,36;24,34;23,13;188,87;221,08;28,21563719;16,50700547;19,21611711;22,07003091;25,06320006;28,19071889;2;0;0;2;27,62
573116;119;83,76;304,7;211;55,22;1635,76;1635,76;13,21;19,92;21,5;23;182,33;209,5;25,92569259;16,70312007;19,40082386;22,23664473;25,20501988;28,3010392;3;0;1;2;27,62
573116;119;83,76;304,7;212;55,22;1724,18;1724,18;13,91;21,73;23,3;26,68;228,12;262,11;27,31742852;16,70312007;19,40082386;22,23664473;25,20501988;28,3010392;2;0;1;2;27,62
573116;119;83,76;304,7;213;55,22;1680;1680;13,57;21,48;23,02;24,57;206,43;237,19;27,10347364;16,70312007;19,40082386;22,23664473;25,20501988;28,3010392;2;0;1;2;27,62
573116;130;105,1;249,28;227;55,32;1680;1680;14,4;22,01;23,14;28,04;242,98;276,54;27,17358779;16,73801989;19,43365027;22,26622006;25,23016629;28,32058039;2;0;1;2;27,62
