estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc;sitio;licl4;lscl4;lscl3;lscl2;lscl1;cls;mudou;nmudou;ncls;s
494631;1034;115,33;344,1;1621;61,76;1635,020689;1572,931296;15,9673223;24,59774796;28,87156787;30,69285673;299,4881884;344,1097657;30,7594622;19,77568436;22,61846132;25,54669283;28,55496311;31,63862268;1;0;1;1;31,535
494631;1000;93,55;326;1569;61,83;1593,62776;1490,145438;17,89209349;27,86778934;30,75494613;37,35711828;409,8417367;466,4672633;32,28002956;19,79932167;22,63992201;25,56522633;28,56984867;31,64916612;1;0;1;1;31,535
494631;1000;93,55;326;1570;61,83;1428,056045;1303,877258;17,33328895;26,04650047;28,25067393;29,72012291;298,9397321;340,2395268;30,23741344;19,79932167;22,63992201;25,56522633;28,56984867;31,64916612;2;0;0;2;29,125
494631;985;119,53;283,38;1539;61,86;1440,856808;1416,838561;14,51856979;23,07655783;24,42182801;22,31078864;206,6024561;245,6463362;27,02391022;19,80944534;22,64911184;25,57316143;28,57622098;31,65367902;3;0;1;3;26,715
494631;985;119,53;283,38;1540;61,86;1465,268288;1392,002804;14,91180261;22,89028965;24,55635503;23,15934369;212,7079131;252,900447;27,13849785;19,80944534;22,64911184;25,57316143;28,57622098;31,65367902;3;0;1;3;26,715
494631;1021;59,85;243,01;1599;61,86;1593,62776;1635,020689;15,82244705;24,94958786;28,2713704;31,36549183;305,5108595;351,032733;30,24907222;19,80944534;22,64911184;25,57316143;28,57622098;31,65367902;2;0;0;2;29,125
494631;1083;161,83;227,19;1710;61,86;1554,180299;1554,180299;14,83936499;25,20829366;26,59495678;25,67396411;262,2759454;298,2567487;28,8578357;19,80944534;22,64911184;25,57316143;28,57622098;31,65367902;2;0;1;2;29,125
494631;1083;161,83;227,19;1711;61,86;1793,71083;1793,71083;13,26643369;22,0727793;24,45287271;23,6767553;213,5668163;242,87301;27,05036637;19,80944534;22,64911184;25,57316143;28,57622098;31,65367902;3;0;0;3;26,715
494631;1019;95,01;203,36;1596;61,89;1552,234831;1345,270187;16,42264452;27,22619894;30,09265927;27,56769061;291,5924872;335,034366;31,73477579;19,81956506;22,65829711;25,58109184;28,58258896;31,6581885;1;0;1;2;29,125
494631;1029;67,75;270,21;1612;62,02;1593,62776;1552,234831;16,36055512;26,29485804;30,17544512;32,52449384;345,4964288;396,9685358;31,7828997;19,86337138;22,69804724;25,61540269;28,61013361;31,67769001;1;0;1;1;31,535
494631;1082;106,12;289,59;1709;62,06;1683,822952;1655,758546;14,87040969;24,52531034;26,88470728;27,53664591;278,2743124;316,4592892;29,05916487;19,87683527;22,71026083;25,62594218;28,61859259;31,68367758;2;0;0;2;29,125
494631;1020;93,91;329,17;1597;62,09;1697,110082;1676,413618;15,22224958;25,70500881;27,79535172;29,10957721;285,5905125;328,1527916;29,81278351;19,88692856;22,71941571;25,63384132;28,6249318;31,68816428;2;0;0;2;29,125
494631;1020;93,91;329,17;1598;62,09;1738,503011;1738,503011;15,0670261;25,7670982;28,37485272;30,08231103;301,475049;346,396725;30,29331463;19,88692856;22,71941571;25,63384132;28,6249318;31,68816428;2;0;0;2;29,125
494631;1028;90,18;284,16;1610;62,12;1593,62776;1614,324225;15,3567766;25,08411488;27,85744111;29,76151584;294,1278041;337,9525675;29,85875752;19,89701788;22,72856602;25,64173579;28,6312667;31,69264758;2;0;0;2;29,125
494631;1028;90,18;284,16;1611;62,12;1738,503011;1738,503011;15,17050842;24,14242575;27,38142243;31,06539309;298,2050076;342,6506649;29,46231316;19,89701788;22,72856602;25,64173579;28,6312667;31,69264758;2;0;0;2;29,125
494631;1076;43,55;227,58;1702;62,12;1692,681039;1624,061911;14,99458847;24,63914089;27,29863657;27,92987873;270,8339334;311,1816908;29,39320899;19,89701788;22,72856602;25,64173579;28,6312667;31,69264758;2;0;0;2;29,125
494631;992;171,98;199;1549;62,19;1676,413618;1635,020689;14,94284731;24,29764923;25,95336638;27,35037773;254,3388512;289,4710996;28,24827849;19,92054418;22,74989905;25,66013803;28,64603142;31,70309538;2;0;0;2;29,125
